,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
229,relief,Belgium,36,Belgium,BEL,56,Belgium,1.0,,2268.0,36.0,May
230,relief,Brazil,24,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,1.6724738675958188,May
231,relief,Canada,684,Canada,CAN,124,Canada,8.15,Statista,38382.0,83.92638036809815,May
232,relief,China,6,China,CHN,156,China,2.0,NY Times,7482.0,3.0,May
233,relief,France,24,France,FRA,250,France,8.9,Statista,3192.0,2.696629213483146,May
234,relief,Germany,18,Germany,DEU,276,Germany,6.1,Statista,4140.0,2.9508196721311477,May
235,relief,Ghana,66,Ghana,GHA,288,Ghana,2.0,,6312.0,33.0,May
236,relief,Hong Kong,12,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,8.0,May
237,relief,India,1770,India,IND,356,India,13.15,Statista,90480.0,134.60076045627375,May
238,relief,Indonesia,36,Indonesia,IDN,360,Indonesia,11.8,,3954.0,3.0508474576271185,May
239,relief,Ireland,180,Ireland,IRL,372,Ireland,2.5,,12138.0,72.0,May
240,relief,Italy,24,Italy,ITA,380,Italy,2.5,,3822.0,9.6,May
241,relief,Japan,24,Japan,JPN,392,Japan,48.45,Statista,4314.0,0.49535603715170273,May
242,relief,Kenya,102,Kenya,KEN,404,Kenya,8.2,google,9228.0,12.439024390243903,May
243,relief,Malaysia,60,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,15.384615384615385,May
244,relief,Mexico,6,Mexico,MEX,484,Mexico,25.7,,1746.0,0.23346303501945526,May
245,relief,New Zealand,78,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,86.66666666666667,May
246,relief,Nigeria,516,Nigeria,NGA,566,Nigeria,8.4,,38400.0,61.42857142857142,May
247,relief,Pakistan,174,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,66.92307692307692,May
248,relief,Republic of Korea,12,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,1.9834710743801653,May
249,relief,Republic of the Philippines,132,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,18.46153846153846,May
250,relief,Singapore,6,Singapore,SGP,702,Singapore,1.3,,3246.0,4.615384615384615,May
251,relief,South Africa,390,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,45.88235294117647,May
252,relief,Spain,42,Spain,ESP,724,Spain,8.4,Statista,4080.0,5.0,May
253,relief,Sri Lanka,6,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,12.0,May
254,relief,Sweden,6,Sweden,SWE,752,Sweden,2.0,,1422.0,3.0,May
255,relief,Switzerland,42,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,52.5,May
256,relief,Thailand,36,Thailand,THA,764,Thailand,7.35,Statista,2736.0,4.8979591836734695,May
257,relief,The Netherlands,42,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,15.000000000000002,May
258,relief,Turkey,6,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.43956043956043955,May
259,relief,Uganda,132,Uganda,UGA,800,,,,,,May
260,relief,United Arab Emirates,84,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,16.122840690978887,May
261,relief,United Kingdom,3168,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,178.4788732394366,May
262,relief,United States,5100,United States,USA,840,United States,64.2,Statista,454626.0,79.43925233644859,May
263,sadness,Australia,336,Australia,AUS,36,Australia,5.0,Statista,22578.0,67.2,May
264,sadness,Belgium,42,Belgium,BEL,56,Belgium,1.0,,2268.0,42.0,May
265,sadness,Brazil,24,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,1.6724738675958188,May
266,sadness,Canada,624,Canada,CAN,124,Canada,8.15,Statista,38382.0,76.56441717791411,May
267,sadness,France,36,France,FRA,250,France,8.9,Statista,3192.0,4.044943820224719,May
268,sadness,Germany,66,Germany,DEU,276,Germany,6.1,Statista,4140.0,10.819672131147541,May
269,sadness,Ghana,54,Ghana,GHA,288,Ghana,2.0,,6312.0,27.0,May
270,sadness,Hong Kong,6,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,4.0,May
271,sadness,India,2310,India,IND,356,India,13.15,Statista,90480.0,175.66539923954372,May
